연번,요일구분,호선,역번호,출발역,상하구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-00시,00시-01시
1295,일요일,3,335,대치,하선,4.55,3.05,3.85,7.4,9.95,8.95,10.3,11.8,11.9,13.35,13.85,15.9,15.55,13.7,11.95,11.25,11.1,6.85,1.75,
1296,일요일,3,336,학여울,하선,4.95,3.1,3.7,6.45,7.4,6.65,8.15,9.9,10.25,12.2,13.5,15.95,15.45,13.5,11.75,11.1,10.95,6.65,1.7,
1297,일요일,3,337,대청,하선,4.8,3,3.6,6.25,7.25,6.55,7.9,9.5,9.45,11,12.25,14.2,13.5,11.75,10.4,9.75,9.3,5.6,2.35,
1298,일요일,3,338,일원,하선,4.45,2.7,3.1,5.55,6.75,6.05,7.9,9.2,8.5,10.7,11.1,12.55,13.35,10.85,9.45,9.15,7.8,5.55,2.1,
1299,일요일,3,339,수서,하선,3.9,2.15,2.85,5.35,7.8,7.75,8.3,9.95,8.35,10.4,11.2,11.55,12.55,9.85,8.35,8.95,6.95,5.7,1.9,
1300,일요일,3,340,가락시장,하선,1.25,1.6,1.75,3.4,5.35,4.25,4.35,5.9,4.75,6.55,7.45,6.5,9.15,6.55,6.1,7.75,5.9,5.7,1.9,
1301,일요일,3,341,경찰병원,하선,0.95,1.25,1.45,3,4.2,3.85,3.75,4.3,4.3,5.1,5.65,5.8,6.4,5.4,4.85,5.45,4.75,4.4,1.2,
1302,일요일,3,342,오금,하선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1303,일요일,4,409,당고개,상선,1.1,1.2,1.05,1.65,1.25,2.6,2.3,1.9,3.45,3.05,3.9,3.75,5.6,5.3,3.3,6.15,4.2,4.05,1.4,
1304,일요일,4,410,상계,상선,1.85,2.1,2.55,4.3,5.35,4.15,3.5,3.85,4.7,5.2,5.95,5.85,7.35,7.25,7.7,7.2,6.3,4.75,2,
1305,일요일,4,411,노원,상선,3.1,3,4.1,7.2,9.05,6.4,5.75,6.55,7.45,8.5,9.55,9.1,12.8,11.2,12.15,11.5,10.15,7.65,3.5,
1306,일요일,4,412,창동,상선,6.05,4.5,6.4,10.8,13.15,10.8,9.6,11.55,12,13.15,14.5,15.75,16.85,17.25,17.15,16.25,14.7,11,8.35,
